purchase_id,user_id,purchase_date,revenue,channel_last_touch
1,3700.0,2024-04-12,217.68,direct
2,4595.0,2024-03-19,89.06,google search
3,1985.0,2024-03-07,129.93,GOOGLE DISPLAY
4,2381.0,2024-02-22,45.35,google display
5,7769.0,2024-02-14,62.53,fb_ads
6,7140.0,2024-04-28,,eMail
7,7424.0,2024-04-12,62.62,TikTok Ads
8,6679.0,2024-02-21,162.3,TicTok Ads
9,3603.0,2024-04-12,-215.62,tiktok ads
10,5341.0,2024-02-03,40.99,Google Search
11,2634.0,2024-04-21,-174.52,Instagram Ads
12,6915.0,2024-02-07,84.4,Instagram Ads
13,4213.0,2024-04-07,289.25,Email
14,5010.0,2024-04-06,150.23,Email
15,5888.0,2024-02-09,243.74,Google Search
16,1459.0,2024-02-10,169.57,Facebook Ads
17,3307.0,2024-04-08,22.59,Instagram Ads
18,1508.0,2024-02-14,193.61,Email
19,2376.0,2024-01-08,285.91,Facebook Ads
20,4468.0,2024-02-18,184.47,Organic Search
21,1880.0,2024-03-04,247.56,Facebook Ads
22,,2024-04-27,266.42,Email
23,8023.0,2024-02-09,76.14,Referral
24,4691.0,2024-02-01,71.49,ORGANIC_SEARCH
25,2353.0,invalid,,Instagram Ads
26,3953.0,2024-03-28,129.2,Organic Search
27,3271.0,2024-03-16,253.56,
28,83.0,2024-01-22,271.01,Google Search
29,7721.0,2024-01-19,112.49,Instgram Ads
30,6309.0,2024-04-13,78.69,Google Search
31,5369.0,07/01/2024,236.35,Google Search
32,6673.0,2024-03-27,89.69,Direct 
33,6606.0,2024-02-13,248.56,EMAIL
34,4076.0,2024-03-24,132.88,Google Search
35,7052.0,invalid,203.59,fb_ads
36,7211.0,invalid,37.71,Direct
37,436.0,2024-02-03,190.92,Organic Search
38,2831.0,2024-04-17,141.01,Facebook Ads
39,3806.0,18/01/2024,180.12,ORGANIC_SEARCH
40,3119.0,2024-02-14,58.72,Facebook Ads
41,406.0,2024-03-16,,Google Display
42,5824.0,2024-01-20,260.21,Email
43,,2024-02-13,72.85,Google Display
44,1098.0,2024-01-28,"37,76",Google Display
45,8153.0,2024-02-21,"16,86",
46,5357.0,24/04/2024,-196.17,Facebook Ads
47,4181.0,2024-01-29,186.06,Organic  Search
48,2453.0,2024-03-16,168.54,referal
49,7883.0,2024-01-08,77.26,Facebok Ads
50,6435.0,2024-03-23,123.36,Organic Search
51,7525.0,2024-03-27,182.4,Instagram Ads
52,718.0,2024-02-07,-154.06,Email
53,1009.0,2024-01-04,296.46,Google Search
54,7635.0,2024-01-17,"49,57",TicTok Ads
55,3634.0,,211.59,google search
56,6208.0,2024-01-30,127.25,facebook ads
57,1595.0,2024-01-04,134.18,Google Search
58,5632.0,2024-02-22,218.1,Organic Search
59,,2024-03-30,210.81,Google Search
60,8421.0,2024-03-07,297.46,Googel Display
61,282.0,invalid,47.23,Facebook Ads
62,7053.0,2024-04-20,40.19,Organic Search
63,,04/04/2024,,TikTok Ads
64,4779.0,2024-02-23,177.73,Facebook Ads
65,7684.0,invalid,-89.51,TicTok Ads
66,6702.0,2024-02-06,33.03,Organic Search
67,4833.0,2024-01-17,34.84,Instgram Ads
68,3224.0,2024-02-06,269.32,Google Display
69,2423.0,2024-02-29,65.64,Referral
70,435.0,2024-04-19,103.78,Google Search
71,172.0,2024-03-04,"75,73",Google Search
72,6188.0,2024-02-22,,
73,1051.0,2024-01-01,30.13,Google Search
74,8405.0,invalid,"160,53",Direct
75,7301.0,2024-01-23,29.61,Organic Search
76,6494.0,2024-02-24,242.1,Direct
77,389.0,2024-03-13,77.78,
78,,2024-02-06,166.6,Google Search
79,5809.0,2024-03-27,265.22,ORGANIC_SEARCH
80,4624.0,2024-02-14,198.75,Facebook Ads
81,3139.0,2024-02-05,164.56,Organic  Search
82,6133.0,2024-02-17,104.06,Googel Display
83,5465.0,invalid,106.57,Instagram Ads
84,5609.0,2024-03-18,"204,15",Direct
85,3186.0,2024-04-16,,Instagram Ads
86,926.0,2024-01-27,201.93,TikTok Ads
87,2168.0,2024-04-02,-171.76,Organic Search
88,5539.0,2024-01-07,-221.89,Google Search
89,5883.0,2024-03-17,144.91,Email
90,4669.0,2024-02-13,27.44,Email
91,2539.0,2024-01-13,173.07,TikTok Ads
92,270.0,2024-03-16,287.71,direct
93,8446.0,2024-04-03,60.84,REFERRAL
94,1281.0,2024-02-04,210.1,Referral
95,6481.0,2024-04-10,"68,27",Organic  Search
96,5039.0,2024-02-06,165.39,Referral
97,2401.0,2024-02-22,-38.04,
98,930.0,2024-01-13,140.61,Email
99,7273.0,2024-02-15,"229,29",TikTok Ads
