user_id,acquisition_date,acquisition_channel,acquisition_campaign
1,2024-01-01,TikTok Ads,4.0
2,,Email,18.0
3,2024-02-03,Direct,41.0
4,2024-02-20,Instagram Ads,27.0
5,08/12/2023,Instagram Ads,7.0
6,2024-03-14,Google Display,11.0
7,2023-12-03,Referral,30.0
8,2024-03-04,Organic Search,15.0
9,2023-12-02,TikTok Ads,2.0
10,2024-04-18,Email,24.0
11,2024-03-04,,4.0
12,2024-01-19,Google Search,30.0
13,2024-01-07,Referral,19.0
14,2024-01-05,Google Search,14.0
15,2024-01-07,Organic Search,51.0
16,2023-12-15,TikTok Ads,5.0
17,2024-03-17,Email,51.0
18,2024-04-03,Referral,12.0
19,2023-12-20,Email,33.0
20,10/04/2024,Direct,12.0
21,2024-04-16,TikTok Ads,45.0
22,2024-03-14,Google Display,10.0
23,2024-02-08,organic search,27.0
24,2024-01-01,Google Display,26.0
25,2024-03-24,Googel Display,7.0
26,2024-04-03,TikTok Ads,53.0
27,2024-04-24,Instagram Ads,35.0
28,2024-01-26,Google Search,52.0
29,invalid,Direct,23.0
30,2024-01-12,Direct,40.0
31,2024-01-17,Organic Search,51.0
32,2023-12-06,,3.0
33,2023-12-09,Organic Search,22.0
34,2024-03-27,Organic  Search,25.0
35,2023-12-10,Email,30.0
36,,EMAIL,26.0
37,07/01/2024,Direct,2.0
38,2024-03-13,Referral,24.0
39,27/04/2024,Google Search,10.0
40,2024-01-05,TikTok Ads,8.0
41,2023-12-30,Google Search,5.0
42,2024-04-28,TikTok Ads,10.0
43,2024-03-26,Referral,49.0
44,2024-04-15,Email,20.0
45,2023-12-29,Email,25.0
46,2024-04-27,TikTok Ads,14.0
47,2024-03-18,Google Search,12.0
48,2024-01-09,Instagram Ads,18.0
49,invalid,Facebok Ads,32.0
50,2024-01-15,tiktok ads,8.0
51,2024-01-29,Google Display,22.0
52,26/02/2024,TikTok Ads,2.0
53,2024-02-16,Email,42.0
54,2024-02-01,TikTok Ads,13.0
55,2024-03-07,Email,4.0
56,2023-12-24,Google Search,40.0
57,2023-12-29,Direct,30.0
58,2024-01-04,Instagram Ads,42.0
59,2024-02-04,,29.0
60,2024-02-14,TikTok Ads,51.0
61,11/04/2024,Organic Search,6.0
62,2024-04-03,Google Display,47.0
63,2023-12-24,Email,6.0
64,,Direct,44.0
65,2024-01-28,google display,17.0
66,2024-01-05,Google Search,0.0
67,2024-01-23,Email,25.0
68,2024-01-09,TikTok Ads,50.0
69,2024-01-28,Facebook Ads,43.0
70,2024-02-08,Instgram Ads,25.0
71,2024-04-29,Instagram Ads,9.0
72,02/01/2024,,6.0
73,2023-12-28,Google Search,39.0
74,2024-03-30,,32.0
75,2024-01-03,TikTok Ads,50.0
76,invalid,Direct,9.0
77,2024-03-28,Email,10.0
78,2024-02-14,Google Display,29.0
79,2024-03-03,Email,17.0
80,2024-01-07,referral,18.0
81,2024-03-04,instagram ads,51.0
82,2023-12-10,Organic Search,7.0
83,10/04/2024,Google Display,29.0
84,2024-01-21,Instagram Ads,32.0
85,2023-12-12,Email,1.0
86,2023-12-25,,12.0
87,2024-03-29,Instagram Ads,2.0
88,2024-01-15,Direct,28.0
89,2024-03-23,Referral,15.0
90,2024-01-06,Organic Search,41.0
91,2024-04-04,Email,26.0
92,2023-12-01,Google Search,27.0
93,2024-01-06,Facebook Ads,52.0
94,2024-02-09,Direct,18.0
95,2024-02-29,Instagram Ads,50.0
96,2024-02-19,Referral,37.0
97,2024-02-18,Email,52.0
98,2023-12-01,tiktok ads,37.0
99,2024-01-04,,7.0
100,2023-12-22,Google Search,24.0
101,2024-03-15,organic search,51.0
102,2024-04-09,google display,7.0
103,2024-03-08,Organic Search,41.0
104,2024-02-06,Email,19.0
105,2024-01-01,Facebook Ads,10.0
106,13/12/2023,Facebook Ads,11.0
107,invalid,Google Display,38.0
108,2024-02-05,Instagram Ads,21.0
109,2024-02-24,,35.0
110,2024-01-16,Google Display,46.0
111,2024-04-14,Facebok Ads,43.0
112,2024-01-07,Google Search,30.0
113,2024-02-05,Email,12.0
114,2024-01-07,Facebook Ads,35.0
115,2024-04-15,Organic Search,46.0
116,2024-03-09,Instagram Ads,46.0
117,2024-01-11,Email,26.0
118,2024-02-17,Google Search,13.0
119,2024-02-07,Email,35.0
120,2024-01-09,TikTok Ads,9.0
121,2023-12-12,Facebook Ads,12.0
122,2024-01-22,Instagram Ads,42.0
123,2024-03-17,Organic  Search,38.0
124,2024-01-27,referral,52.0
125,2024-03-26,tiktok ads,20.0
126,2024-03-10,Google  Search,27.0
127,2023-12-28,DIRECT,16.0
128,invalid,Instgram Ads,23.0
129,2023-12-05,eMail,19.0
130,2024-03-23,DIRECT,51.0
131,invalid,Organic Search,15.0
132,2024-03-05,tiktok ads,47.0
133,2023-12-02,,2.0
134,2024-03-26,referral,23.0
135,2024-02-14,Facebook Ads,999.0
136,2024-04-28,Direct,48.0
137,,Facebook Ads,9.0
138,2024-01-30,Direct,31.0
139,2024-04-16,Google Display,5.0
140,2023-12-06,Email,22.0
141,2023-12-02,Email,53.0
142,2024-04-03,TikTok Ads,46.0
143,05/01/2024,,39.0
144,2024-03-24,TikTok Ads,36.0
145,2023-12-28,Referral,999.0
146,2024-03-07,Instagram Ads,7.0
147,2024-02-15,Instagram Ads,19.0
148,2023-12-22,Email,39.0
149,2024-03-14,Google Display,14.0
150,2023-12-03,Direct,11.0
151,2023-12-29,Google Search,8.0
152,2024-01-23,direct,21.0
153,2024-01-19,direct,27.0
154,2024-02-21,Google Search,20.0
155,2023-12-09,Email,17.0
156,2023-12-27,Facebook Ads,21.0
157,2024-04-29,Direct,4.0
158,2023-12-24,EMAIL,3.0
159,09/01/2024,TikTok Ads,20.0
160,2024-03-12,eMail,28.0
161,2024-04-08,Referral,35.0
162,2024-02-20,TikTok Ads,38.0
163,2024-01-05,Google Display,26.0
164,16/02/2024,Google Search,37.0
165,2024-01-04,Google Search,23.0
166,2023-12-19,Referral,20.0
167,2024-03-09,Direct,3.0
168,2023-12-01,EMAIL,999.0
169,2023-12-01,Email,9.0
170,2023-12-19,Google Search,50.0
171,2023-12-11,Referral,14.0
172,2024-03-21,Email,9.0
173,2023-12-14,,41.0
174,2024-03-23,Google Display,8.0
175,2024-04-25,TikTok Ads,29.0
176,2024-02-12,,20.0
177,invalid,Instagram Ads,16.0
178,2024-01-26,,48.0
179,2024-04-16,,6.0
180,2024-03-12,Referral,15.0
181,2024-03-01,Organic Search,27.0
182,2024-04-09,Facebok Ads,24.0
183,2024-03-17,,36.0
184,2024-03-02,Organic Search,0.0
185,2024-04-24,DIRECT,6.0
186,2023-12-30,Direct ,45.0
187,2024-01-14,google display,33.0
188,2024-02-02,Organic  Search,21.0
189,2024-01-08,Organic Search,13.0
190,2024-04-05,GOOGLE DISPLAY,10.0
191,2024-02-04,Email,12.0
192,07/01/2024,Instagram Ads,16.0
193,2024-03-21,Email,4.0
194,2024-04-26,instagram ads,38.0
195,2023-12-23,TikTok Ads,51.0
196,2023-12-27,Email,18.0
197,2024-01-13,Facebook Ads,36.0
198,2024-02-26,Google Display,30.0
199,2023-12-01,Google Display,15.0
200,23/03/2024,Direct ,30.0
201,02/12/2023,Organic  Search,44.0
202,2024-03-14,direct,45.0
203,2024-04-21,Organic  Search,0.0
204,2024-01-07,Instagram Ads,26.0
205,2024-02-13,Google Display,46.0
206,2024-01-15,Google Search,9.0
207,2024-03-24,Instagram Ads,49.0
208,2024-01-13,Organic  Search,37.0
209,2023-12-03,TikTok Ads,17.0
210,2024-01-26,Google Display,1.0
211,2023-12-08,Referral,13.0
212,2024-04-22,Organic Search,1.0
213,2024-02-19,email,42.0
214,26/04/2024,Direct,36.0
215,,Google Display,31.0
216,2024-01-29,Google Display,26.0
217,2024-01-19,Google Display,29.0
218,2023-12-08,TikTok Ads,43.0
219,2024-03-16,Facebook Ads,11.0
220,2024-02-09,Email,13.0
221,2023-12-18,Organic Search,13.0
222,2023-12-28,,4.0
