session_id,user_id,session_start,device,source_channel,pages_viewed
1,3722.0,2024-03-23 19:38:47,desktop,,9.0
2,1016.0,2024-01-21 05:51:26,tablet,Email,11.0
3,8454.0,18/03/2024 09:03,mobile,TicTok Ads,15.0
4,7823.0,2024-02-17 14:36:35,desktop,Direct,1.0
5,8483.0,2024-02-05 10:05:38,mobile,TikTok Ads,12.0
6,3403.0,2024-04-25 18:37:46,tablet,Google  Search,14.0
7,6368.0,2024-04-05 23:15:56,mobile,Google Search,15.0
8,642.0,2024-04-07 11:09:45,tablet,TicTok Ads,2.0
9,7824.0,2024-01-23 22:09:25,mobile,Organic  Search,7.0
10,4697.0,2024-01-16 03:54:22,desktop,Direct,5.0
11,7444.0,2024-01-25 15:25:34,mobile,Referral,15.0
12,,2024-03-10 20:35:47,desktop,Direct,2.0
13,4091.0,2024-03-29 13:03:21,TABLET,TikTok Ads,13.0
14,1980.0,2024-01-18 07:11:57,tablet,DIRECT,7.0
15,1808.0,2024-04-03 04:58:05,desktop,Facebook Ads,
16,2236.0,2024-03-09 11:17:23,tablet,referral,10.0
17,8428.0,,Phone,Instagram Ads,6.0
18,8060.0,2024-02-19 19:39:17,desk_top,TikTok Ads,5.0
19,5985.0,2024-01-17 02:29:01,mobile_web,Referral,11.0
20,6079.0,2024-03-23 18:37:12,desktop,Email,3.0
21,3143.0,10/04/2024 13:13,tablet,Referral,8.0
22,4707.0,21/01/2024 12:17,desktop,Organic Search,15.0
23,3742.0,2024-04-19 07:45:24,desktop,,12.0
24,1544.0,not_a_date,desktop,Direct,7.0
25,7505.0,2024-04-12 13:47:26,Phone,Organic Search,1.0
26,7965.0,2024-01-03 02:27:20,tablet,TicTok Ads,9.0
27,2328.0,2024-02-25 18:51:34,mobile,REFERRAL,14.0
28,7221.0,2024-02-22 04:39:52,desktop,Facebook Ads,2.0
29,7947.0,2024-04-20 13:10:46,mobile,Google Display,12.0
30,6315.0,2024-03-06 16:47:05,mobile,Direct,3.0
31,2972.0,2024-03-27 15:09:18,tablet,Email,2.0
32,2363.0,2024-02-09 23:45:58,mobile_web,Google Search,2.0
33,479.0,2024-01-01 18:30:42,Android,DIRECT,12.0
34,1327.0,not_a_date,desk_top,Facebook Ads,4.0
35,1240.0,2024-03-30 21:31:15,Desktop,Google Display,12.0
36,7822.0,12/01/2024 14:55,tablet,Facebook Ads,2.0
37,3409.0,2024-02-27 10:52:25,Android,Email,15.0
38,5057.0,2024-03-16 05:02:36,desktop,Email,13.0
39,4310.0,2024-01-22 13:03:48,tablet,Google Display,13.0
40,5715.0,2024-04-22 20:23:15,tablet,FB Ads,14.0
41,3156.0,22/04/2024 01:29,Desktop,Google Search,14.0
42,3904.0,2024-01-04 03:56:36,desktop,Google Display,8.0
43,8187.0,2024-02-27 21:08:13,tablet,Email,1.0
44,814.0,2024-01-19 00:26:14,desktop,REFERRAL,-1.0
45,,21/04/2024 08:45,tablet,Referral,15.0
46,7246.0,2024-01-08 15:05:22,desktop,organic search,5.0
47,3063.0,2024-01-31 08:02:52,desktop,Google Search,11.0
48,4554.0,not_a_date,tab_let,google search,6.0
49,5407.0,2024-02-20 02:38:17,mobile,Organic Search,1.0
50,7758.0,2024-02-25 11:16:50,mobile,Direct,5.0
51,6383.0,2024-03-05 08:44:38,tablet,Google Search,2.0
52,1934.0,2024-03-10 11:09:09,mobile,Google Display,14.0
53,1648.0,2024-03-26 20:01:28,mobile,referral,3.0
54,8312.0,03/01/2024 23:45,tablet,Google Display,5.0
55,1480.0,2024-02-17 16:49:38,desktop,Google Search,14.0
56,8509.0,2024-03-04 16:42:38,mobile,GOOGLE DISPLAY,5.0
57,6365.0,2024-01-03 13:29:28,mobile,Referral,3.0
58,4665.0,2024-03-13 18:53:41,desktop,facebook ads,13.0
59,4688.0,25/02/2024 00:03,desktop,REFERRAL,1.0
60,,2024-04-12 07:37:20,tab_let,Google Search,9.0
61,118.0,2024-03-10 15:48:14,tablet,eMail,14.0
62,5798.0,2024-01-24 10:35:07,tablet,Facebook Ads,5.0
63,2469.0,2024-03-05 02:48:37,,Google Search,14.0
64,1854.0,2024-02-27 02:24:54,mobile,Facebook Ads,1.0
65,3616.0,2024-03-11 16:31:10,mobile,Instagram Ads,7.0
66,6525.0,2024-02-03 10:31:54,tablet,Google Display,8.0
67,7906.0,2024-03-27 20:27:35,tablet,Email,12.0
68,6034.0,2024-03-23 23:15:04,desktop,TikTok Ads,13.0
69,6424.0,2024-04-07 12:06:56,tablet,TikTok Ads,8.0
70,5735.0,2024-02-04 21:45:16,desktop,Google Search,11.0
71,,2024-02-13 02:18:21,tablet,Google Search,1.0
72,6730.0,2024-03-19 13:49:16,desktop,fb_ads,9.0
73,4672.0,2024-02-20 12:31:12,mobile,Organic Search,8.0
74,3099.0,2024-03-18 21:41:29,desktop,Direct,10.0
75,904.0,2024-03-27 08:45:31,,Direct ,-1.0
76,572.0,2024-04-08 22:32:35,mobile,Google Display,11.0
77,8117.0,2024-04-25 10:23:26,mobile,Facebook Ads,10.0
78,8147.0,2024-03-12 12:07:43,tablet,Google Search,5.0
79,3699.0,2024-01-14 15:21:38,Desktop,referal,2.0
80,5725.0,2024-03-03 02:07:20,mobile,Referral,12.0
81,2453.0,2024-04-25 05:29:44,mobile,Facebook Ads,15.0
82,925.0,2024-04-04 00:53:39,tablet,,5.0
83,5878.0,2024-03-14 20:28:51,tablet,TikTok Ads,11.0
84,5802.0,2024-02-04 10:59:46,,Facebook Ads,5.0
85,2839.0,2024-02-17 07:19:07,desktop,Google Display,14.0
86,7695.0,2024-04-08 18:51:29,iPhone,Facebook Ads,11.0
87,5804.0,2024-01-18 19:10:29,desktop,TikTok Ads,13.0
88,4610.0,2024-03-25 16:37:28,mobile,Instagram Ads,-1.0
89,862.0,2024-02-26 02:14:39,mobile,Email,4.0
90,6595.0,2024-01-15 00:58:52,tablet,TikTok Ads,14.0
91,307.0,2024-04-05 00:04:43,desktop,Instagram Ads,9.0
92,5591.0,2024-01-11 09:19:56,DESKTOP,FB Ads,
93,2736.0,2024-01-15 19:47:31,mobile,Organic Search,
94,3389.0,14/04/2024 23:45,mobile,Direct,9.0
95,3189.0,2024-02-06 04:13:27,tablet,Organic Search,10.0
96,8378.0,2024-03-03 19:32:02,desktop,Facebook Ads,15.0
97,5092.0,,desktop,Organic Search,12.0
98,7926.0,2024-03-14 01:28:59,mobile,Referral,15.0
99,1363.0,2024-02-26 08:39:40,tablet,Google Display,6.0
100,343.0,2024-02-07 19:44:30,desktop,GOOGLE SEARCH,6.0
101,3253.0,2024-03-20 23:48:28,mobile,Email,10.0
102,3596.0,,Tablet,TikTok Ads,4.0
103,6113.0,2024-01-19 23:42:58,desktop,Referral,2.0
104,7201.0,2024-03-25 06:00:38,desktop,Organic Search,5.0
105,4834.0,not_a_date,,referal,1.0
106,5351.0,11/02/2024 10:30,desktop,,2.0
107,3381.0,2024-01-14 17:55:39,desktop,Facebook Ads,8.0
108,2258.0,2024-01-28 15:44:42,tablet,Organic Search,13.0
109,1333.0,2024-01-04 20:17:23,desktop,Facebook Ads,4.0
110,1714.0,2024-03-01 17:19:38,tablet,Google Display,11.0
111,8001.0,2024-03-30 08:24:38,desktop,Facebook Ads,1.0
112,2773.0,not_a_date,tablet,Facebook Ads,13.0
113,4844.0,2024-01-07 04:04:07,desktop,Google Search,10.0
114,6088.0,2024-02-04 21:50:48,Tablet,TikTok Ads,11.0
115,3402.0,29/03/2024 16:11,desktop,TikTok Ads,8.0
116,7225.0,2024-01-20 17:36:24,mobile,TikTok Ads,10.0
117,8521.0,2024-02-25 23:01:55,,TikTok Ads,15.0
118,6512.0,2024-03-18 14:40:40,mobile,Instagram Ads,6.0
119,1896.0,2024-04-05 21:24:12,Phone,,9.0
120,7226.0,2024-04-05 12:53:27,tablet,Referral,2.0
121,4102.0,2024-02-01 05:55:46,desktop,,15.0
122,1476.0,not_a_date,mobile,Google Search,
123,7821.0,2024-04-16 22:13:09,desktop,Direct,7.0
124,2139.0,2024-02-29 20:27:35,mobile,Organic Search,3.0
125,138.0,2024-02-24 12:55:18,tablet,Organic Search,6.0
