===============================================================================
AOV Average Order Value Performance Analysis – Query Results
===============================================================================

1) AOV overall 
    2) AOV Performance monthly
    3.1) Mid of Funnel (MOFU) Monthly AOV Performance and MOM-Analysis by Channels
    3.2) Top of Funnel (TOFU) Monthly AOV Performance and MOM-Analysis by Channels
    3.3) Bottom of Funnel (BOFU) Monthly AOV Performance and MOM-Analysis by Channels
    3.4) Top 10 Improvements/Declines MoM AOV Channels
    4.1) Mid of Funnel (MOFU) Monthly AOV Performance and MOM-Analysis by Campaigns
    4.2) Top of Funnel (TOFU) Monthly AOV Performance and MOM-Analysis by Campaigns
    4.3) Bottom of Funnel (BOFU) Monthly AOV Performance and MOM-Analysis by Campaigns
    4.4) Top 10 Improvements/Declines MoM AOV Campaigns

================================================================================
1) AOV Overall
================================================================================

revenue     orders      aov       
----------  ----------  ----------
382478.49   2495        153.297991

================================================================================
2) AOV Performance Monthly
================================================================================

performance_month  current_revenue  current_orders  current_aov  avg_aov     diff_avg    avg_change  pm_aov      diff_pm_aov  pm_change   mom_percentage
--------------------------------------------------------------------------------------------------------------------------------------------------------
2024-01-01         68831.49         443             155.375823   153.438437  1.937386    Above Avg   NULL        NULL         No Change   NULL          
2024-02-01         110311.33        699             157.813061   153.438437  4.374624    Above Avg   155.375823  2.437238     Increase    1.570000      
2024-03-01         108981.21        725             150.318910   153.438437  -3.119527   Below Avg   157.813061  -7.494151    Decrease    -4.750000     
2024-04-01         94354.46         628             150.245955   153.438437  -3.192482   Below Avg   150.318910  -0.072955    Decrease    -0.050000     

================================================================================
3.1) MOFU Monthly AOV Performance and MoM-Analysis by Channels
================================================================================

performance_month  channel         current_revenue  current_orders  current_aov  avg_aov     diff_avg    avg_change  pm_aov      diff_pm_aov  pm_change   mom_percentage
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2024-01-01         Direct          7072.62          94              75.240638    47.557545   27.683093   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Direct          12916.49         236             54.730889    47.557545   7.173344    Above Avg   75.240638   -20.509749   Decrease    -27.260000
2024-03-01         Direct          12110.65         356             34.018679    47.557545   -13.538866  Below Avg   54.730889   -20.712210   Decrease    -37.840000
2024-04-01         Direct          10102.39         385             26.239974    47.557545   -21.317571  Below Avg   34.018679   -7.778705    Decrease    -22.870000
2024-01-01         Email           7530.36          80              94.129500    49.794960   44.334540   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Email           12241.32         250             48.965280    49.794960   -0.829680   Below Avg   94.129500   -45.164220   Decrease    -47.980000
2024-03-01         Email           10948.09         359             30.496072    49.794960   -19.298888  Below Avg   48.965280   -18.469208   Decrease    -37.720000
2024-04-01         Email           10389.13         406             25.588990    49.794960   -24.205970  Below Avg   30.496072   -4.907082    Decrease    -16.090000
2024-01-01         Facebook Ads    7156.83          97              73.781752    45.753635   28.028117   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Facebook Ads    12203.93         240             50.849708    45.753635   5.096073    Above Avg   73.781752   -22.932044   Decrease    -31.080000
2024-03-01         Facebook Ads    11575.36         343             33.747405    45.753635   -12.006230  Below Avg   50.849708   -17.102303   Decrease    -33.630000
2024-04-01         Facebook Ads    10026.72         407             24.635675    45.753635   -21.117960  Below Avg   33.747405   -9.111730    Decrease    -27.000000
2024-01-01         Google Display  7500.24          89              84.272359    49.103843   35.168516   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Google Display  12662.75         249             50.854417    49.103843   1.750574    Above Avg   84.272359   -33.417942   Decrease    -39.650000
2024-03-01         Google Display  12387.00         380             32.597368    49.103843   -16.506475  Below Avg   50.854417   -18.257049   Decrease    -35.900000
2024-04-01         Google Display  11447.80         399             28.691228    49.103843   -20.412615  Below Avg   32.597368   -3.906140    Decrease    -11.980000
2024-01-01         Google Search   8769.99          97              90.412268    50.715032   39.697236   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Google Search   14230.48         281             50.642277    50.715032   -0.072755   Below Avg   90.412268   -39.769991   Decrease    -43.990000
2024-03-01         Google Search   13111.59         379             34.595224    50.715032   -16.119808  Below Avg   50.642277   -16.047053   Decrease    -31.690000
2024-04-01         Google Search   11346.72         417             27.210359    50.715032   -23.504673  Below Avg   34.595224   -7.384865    Decrease    -21.350000
2024-01-01         Instagram Ads   8850.38          106             83.494150    47.696288   35.797862   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Instagram Ads   10747.18         231             46.524588    47.696288   -1.171700   Below Avg   83.494150   -36.969562   Decrease    -44.280000
2024-03-01         Instagram Ads   12322.88         363             33.947327    47.696288   -13.748961  Below Avg   46.524588   -12.577261   Decrease    -27.030000
2024-04-01         Instagram Ads   10298.53         384             26.819088    47.696288   -20.877200  Below Avg   33.947327   -7.128239    Decrease    -21.000000
2024-01-01         Organic Search  6818.04          80              85.225500    49.119092   36.106408   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Organic Search  11362.06         221             51.412036    49.119092   2.292944    Above Avg   85.225500   -33.813464   Decrease    -39.680000
2024-03-01         Organic Search  11909.94         361             32.991523    49.119092   -16.127569  Below Avg   51.412036   -18.420513   Decrease    -35.830000
2024-04-01         Organic Search  10980.55         409             26.847310    49.119092   -22.271782  Below Avg   32.991523   -6.144213    Decrease    -18.620000
2024-01-01         Referral        7739.99          88              87.954431    49.664929   38.289502   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Referral        11182.97         220             50.831681    49.664929   1.166752    Above Avg   87.954431   -37.122750   Decrease    -42.210000
2024-03-01         Referral        12588.42         360             34.967833    49.664929   -14.697096  Below Avg   50.831681   -15.863848   Decrease    -31.210000
2024-04-01         Referral        9663.44          388             24.905773    49.664929   -24.759156  Below Avg   34.967833   -10.062060   Decrease    -28.780000
2024-01-01         TikTok Ads      7393.04          84              88.012380    49.861319   38.151061   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         TikTok Ads      12764.15         237             53.857172    49.861319   3.995853    Above Avg   88.012380   -34.155208   Decrease    -38.810000
2024-03-01         TikTok Ads      12027.28         375             32.072746    49.861319   -17.788573  Below Avg   53.857172   -21.784426   Decrease    -40.450000
2024-04-01         TikTok Ads      10099.18         396             25.502979    49.861319   -24.358340  Below Avg   32.072746   -6.569767    Decrease    -20.480000

================================================================================
3.2) TOFU Monthly AOV Performance and MoM-Analysis by Acquisition Channels
================================================================================

performance_month  acquisition_channel  current_revenue  current_orders  current_aov  avg_aov     diff_avg    avg_change  pm_aov      diff_pm_aov  pm_change   mom_percentage
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2024-01-01         Direct               6025.19          47              128.195531   148.247521  -20.051990  Below Avg   NULL        NULL         No Change   NULL
2024-02-01         Direct               11107.33         67              165.781044   148.247521  17.533523   Above Avg   128.195531  37.585513    Increase    29.320000
2024-03-01         Direct               10780.39         71              151.836478   148.247521  3.588957    Above Avg   165.781044  -13.944566   Decrease    -8.410000
2024-04-01         Direct               9419.33          64              147.177031   148.247521  -1.070490   Below Avg   151.836478  -4.659447    Decrease    -3.070000
2024-01-01         Email                8413.14          58              145.054137   149.433232  -4.379095   Below Avg   NULL        NULL         No Change   NULL
2024-02-01         Email                12461.15         75              166.148666   149.433232  16.715434   Above Avg   145.054137  21.094529    Increase    14.540000
2024-03-01         Email                11904.83         75              158.731066   149.433232  9.297834    Above Avg   166.148666  -7.417600    Decrease    -4.460000
2024-04-01         Email                8179.14          64              127.799062   149.433232  -21.634170  Below Avg   158.731066  -30.932004   Decrease    -19.490000
2024-01-01         Facebook Ads         6792.95          38              178.761842   155.284001  23.477841   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Facebook Ads         12703.57         84              151.232976   155.284001  -4.051025   Below Avg   178.761842  -27.528866   Decrease    -15.400000
2024-03-01         Facebook Ads         11314.92         73              154.998904   155.284001  -0.285097   Below Avg   151.232976  3.765928     Increase    2.490000
2024-04-01         Facebook Ads         9529.96          70              136.142285   155.284001  -19.141716  Below Avg   154.998904  -18.856619   Decrease    -12.170000
2024-01-01         Google Display       7740.26          47              164.686382   160.529865  4.156517    Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Google Display       10835.05         68              159.338970   160.529865  -1.190895   Below Avg   164.686382  -5.347412    Decrease    -3.250000
2024-03-01         Google Display       10842.62         71              152.712957   160.529865  -7.816908   Below Avg   159.338970  -6.626013    Decrease    -4.160000
2024-04-01         Google Display       8599.82          52              165.381153   160.529865  4.851288    Above Avg   152.712957  12.668196    Increase    8.300000
2024-01-01         Google Search        7807.03          40              195.175750   168.055250  27.120500   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Google Search        12570.67         76              165.403552   168.055250  -2.651698   Below Avg   195.175750  -29.772198   Decrease    -15.250000
2024-03-01         Google Search        13534.63         94              143.985425   168.055250  -24.069825  Below Avg   165.403552  -21.418127   Decrease    -12.950000
2024-04-01         Google Search        8550.47          51              167.656274   168.055250  -0.398976   Below Avg   143.985425  23.670849    Increase    16.440000
2024-01-01         Instagram Ads        6618.54          43              153.919534   146.658043  7.261491    Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Instagram Ads        12695.38         88              144.265681   146.658043  -2.392362   Below Avg   153.919534  -9.653853    Decrease    -6.270000
2024-03-01         Instagram Ads        9958.94          73              136.423835   146.658043  -10.234208  Below Avg   144.265681  -7.841846    Decrease    -5.440000
2024-04-01         Instagram Ads        12161.85         80              152.023125   146.658043  5.365082    Above Avg   136.423835  15.599290    Increase    11.430000
2024-01-01         Organic Search       7247.20          50              144.944000   155.421696  -10.477696  Below Avg   NULL        NULL         No Change   NULL
2024-02-01         Organic Search       11961.44         70              170.877714   155.421696  15.456018   Above Avg   144.944000  25.933714    Increase    17.890000
2024-03-01         Organic Search       12091.11         75              161.214800   155.421696  5.793104    Above Avg   170.877714  -9.662914    Decrease    -5.650000
2024-04-01         Organic Search       10559.47         73              144.650273   155.421696  -10.771423  Below Avg   161.214800  -16.564527   Decrease    -10.270000
2024-01-01         Referral             9273.68          59              157.181016   151.371867  5.809149    Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Referral             10777.72         71              151.798873   151.371867  0.427006    Above Avg   157.181016  -5.382143    Decrease    -3.420000
2024-03-01         Referral             10105.45         71              142.330281   151.371867  -9.041586   Below Avg   151.798873  -9.468592    Decrease    -6.240000
2024-04-01         Referral             9713.17          63              154.177301   151.371867  2.805434    Above Avg   142.330281  11.847020    Increase    8.320000
2024-01-01         TikTok Ads           6480.60          44              147.286363   156.423333  -9.136970   Below Avg   NULL        NULL         No Change   NULL
2024-02-01         TikTok Ads           11389.51         69              165.065362   156.423333  8.642029    Above Avg   147.286363  17.778999    Increase    12.070000
2024-03-01         TikTok Ads           11931.01         76              156.986973   156.423333  0.563640    Above Avg   165.065362  -8.078389    Decrease    -4.890000
2024-04-01         TikTok Ads           12821.08         82              156.354634   156.423333  -0.068699   Below Avg   156.986973  -0.632339    Decrease    -0.400000

================================================================================
3.3) BOFU Monthly AOV Performance and MoM-Analysis by Last-Touch Channels
================================================================================

performance_month  last_touch_channel  current_revenue  current_orders  current_aov  avg_aov     diff_avg    avg_change  pm_aov      diff_pm_aov  pm_change   mom_percentage
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2024-01-01         Direct              7414.96          55              134.817454   143.845612  -9.028158   Below Avg   NULL        NULL         No Change   NULL
2024-02-01         Direct              12443.73         86              144.694534   143.845612  0.848922    Above Avg   134.817454  9.877080     Increase    7.330000
2024-03-01         Direct              11589.41         78              148.582179   143.845612  4.736567    Above Avg   144.694534  3.887645     Increase    2.690000
2024-04-01         Direct              9426.45          64              147.288281   143.845612  3.442669    Above Avg   148.582179  -1.293898    Decrease    -0.870000
2024-01-01         Email               7702.31          53              145.326603   133.105812  12.220791   Above Avg   NULL        NULL         No Change   NULL
2024-02-01         Email               10573.31         76              139.122500   133.105812  6.016688    Above Avg   145.326603  -6.204103    Decrease    -4.270000
2024-03-01         Email               10841.04         87              124.609655   133.105812  -8.496157   Below Avg   139.122500  -14.512845   Decrease    -10.430000
2024-04-01         Email               8512.15          69              123.364492   133.105812  -9.741320   Below Avg   124.609655  -1.245163    Decrease    -1.000000
2024-01-01         Facebook Ads        5971.33          50              119.426600   123.148559  -3.721959   Below Avg   NULL        NULL         No Change   NULL
2024-02-01         Facebook Ads        11329.13         89              127.293595   123.148559  4.145036    Above Avg   119.426600  7.866995     Increase    6.590000
2024-03-01         Facebook Ads        10620.08         85              124.942117   123.148559  1.793558    Above Avg   127.293595  -2.351478    Decrease    -1.850000
2024-04-01         Facebook Ads        10037.35         83              120.931927   123.148559  -2.216632   Below Avg   124.942117  -4.010190    Decrease    -3.210000
2024-01-01         Google Display      5527.63          42              131.610238   137.798477  -6.188239   Below Avg   NULL        NULL         No Change   NULL
2024-02-01         Google Display      13345.06         97              137.577938   137.798477  -0.220539   Below Avg   131.610238  5.967700     Increase    4.530000
2024-03-01         Google Display      12561.22         94              133.630000   137.798477  -4.168477   Below Avg   137.577938  -3.947938    Decrease    -2.870000
