===============================================================================
ARPU Average Revenue per User Performance Analysis – Query Results
===============================================================================

Queries:
    1) ARPU overall 
    2) ARPU Performances monthly 
    3.1) Mid of Funnel (MOFU) Monthly ARPU Performance and MOM-Analysis by Channels
    3.2) Top of Funnel (TOFU) Monthly ARPU Performance and MOM-Analysis by Channels
    3.3) Bottom of Funnel (BOFU) Monthly ARPU Performance and MOM-Analysis by Channels
    3.4) Top 10 Improvements/Declines MoM ARPU Channels
    4.1) Mid of Funnel (MOFU) Monthly ARPU Performance and MOM-Analysis by Campaigns
    4.2) Top of Funnel (TOFU) Monthly ARPU Performance and MOM-Analysis by Campaigns
    4.3) Bottom of Funnel (BOFU) Monthly ARPU Performance and MOM-Analysis by Campaigns
    4.4) Top 10 Improvements/Declines MoM ARPU Campaigns

================================================================================
1) ARPU Overall
================================================================================

revenue     users       arpu      
----------  ----------  ----------
382478.49   2160        177.073375

================================================================================
2) ARPU Performance Monthly
================================================================================

performance_month  current_revenue  active_users  current_arpu  avg_arpu    diff_avg    avg_change  pm_arpu     diff_pm_arpu  pm_change   mom_percentage
--------------------------------------------------------------------------------------------------------------------------------------------------------
2024-01-01         68831.49         433           158.964180    158.457694  0.506486    Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         110311.33        667           165.384302    158.457694  6.926608    Above Avg   158.964180  6.420122      Increase    4.040000      
2024-03-01         108981.21        704           154.802855    158.457694  -3.654839   Below Avg   165.384302  -10.581447    Decrease    -6.400000     
2024-04-01         94354.46         610           154.679442    158.457694  -3.778252   Below Avg   154.802855  -0.123413     Decrease    -0.080000     

================================================================================
3.1) MOFU Monthly ARPU Performance and MoM-Analysis by Channels
================================================================================

performance_month  channel         current_revenue  active_users  current_arpu  avg_arpu    diff_avg    avg_change  pm_arpu     diff_pm_arpu  pm_change   mom_percentage
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2024-01-01         Direct          7072.62          93            76.049677     48.624904   27.424773   Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         Direct          12916.49         228           56.651271     48.624904   8.026367    Above Avg   76.049677   -19.398406    Decrease    -25.510000    
2024-03-01         Direct          12110.65         346           35.001878     48.624904   -13.623026  Below Avg   56.651271   -21.649393    Decrease    -38.220000    
2024-04-01         Direct          10102.39         377           26.796790     48.624904   -21.828114  Below Avg   35.001878   -8.205088     Decrease    -23.440000    
2024-01-01         Email           7530.36          77            97.796883     51.764844   46.032039   Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         Email           12241.32         238           51.434117     51.764844   -0.330727   Below Avg   97.796883   -46.362766    Decrease    -47.410000    
2024-03-01         Email           10948.09         348           31.460028     51.764844   -20.304816  Below Avg   51.434117   -19.974089    Decrease    -38.830000    
2024-04-01         Email           10389.13         394           26.368350     51.764844   -25.396494  Below Avg   31.460028   -5.091678     Decrease    -16.180000    
2024-01-01         Facebook Ads    7156.83          95            75.335052     47.064512   28.270540   Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         Facebook Ads    12203.93         229           53.292270     47.064512   6.227758    Above Avg   75.335052   -22.042782    Decrease    -29.260000    
2024-03-01         Facebook Ads    11575.36         338           34.246627     47.064512   -12.817885  Below Avg   53.292270   -19.045643    Decrease    -35.740000    
2024-04-01         Facebook Ads    10026.72         395           25.384101     47.064512   -21.680411  Below Avg   34.246627   -8.862526     Decrease    -25.880000    
2024-01-01         Google Display  7500.24          86            87.212093     50.933690   36.278403   Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         Google Display  12662.75         238           53.204831     50.933690   2.271141    Above Avg   87.212093   -34.007262    Decrease    -38.990000    
2024-03-01         Google Display  12387.00         368           33.660326     50.933690   -17.273364  Below Avg   53.204831   -19.544505    Decrease    -36.730000    
2024-04-01         Google Display  11447.80         386           29.657512     50.933690   -21.276178  Below Avg   33.660326   -4.002814     Decrease    -11.890000    
2024-01-01         Google Search   8769.99          95            92.315684     52.107656   40.208028   Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         Google Search   14230.48         268           53.098805     52.107656   0.991149    Above Avg   92.315684   -39.216879    Decrease    -42.480000    
2024-03-01         Google Search   13111.59         371           35.341212     52.107656   -16.766444  Below Avg   53.098805   -17.757593    Decrease    -33.440000    
2024-04-01         Google Search   11346.72         410           27.674926     52.107656   -24.432730  Below Avg   35.341212   -7.666286     Decrease    -21.690000    
2024-01-01         Instagram Ads   8850.38          103           85.926019     49.213603   36.712416   Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         Instagram Ads   10747.18         220           48.850818     49.213603   -0.362785   Below Avg   85.926019   -37.075201    Decrease    -43.150000    
2024-03-01         Instagram Ads   12322.88         356           34.614831     49.213603   -14.598772  Below Avg   48.850818   -14.235987    Decrease    -29.140000    
2024-04-01         Instagram Ads   10298.53         375           27.462746     49.213603   -21.750857  Below Avg   34.614831   -7.152085     Decrease    -20.660000    
2024-01-01         Organic Search  6818.04          80            85.225500     50.039693   35.185807   Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         Organic Search  11362.06         213           53.343004     50.039693   3.303311    Above Avg   85.225500   -31.882496    Decrease    -37.410000    
2024-03-01         Organic Search  11909.94         351           33.931452     50.039693   -16.108241  Below Avg   53.343004   -19.411552    Decrease    -36.390000    
2024-04-01         Organic Search  10980.55         397           27.658816     50.039693   -22.380877  Below Avg   33.931452   -6.272636     Decrease    -18.490000    
2024-01-01         Referral        7739.99          87            88.965402     50.977013   37.988389   Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         Referral        11182.97         211           52.999857     50.977013   2.022844    Above Avg   88.965402   -35.965545    Decrease    -40.430000    
2024-03-01         Referral        12588.42         348           36.173620     50.977013   -14.803393  Below Avg   52.999857   -16.826237    Decrease    -31.750000    
2024-04-01         Referral        9663.44          375           25.769173     50.977013   -25.207840  Below Avg   36.173620   -10.404447    Decrease    -28.760000    
2024-01-01         TikTok Ads      7393.04          81            91.272098     51.739073   39.533025   Above Avg   NULL        NULL          No Change   NULL          
2024-02-01         TikTok Ads      12764.15         226           56.478539     51.739073   4.739466    Above Avg   91.272098   -34.793559    Decrease    -38.120000    
2024-03-01         TikTok Ads      12027.28         364           33.041978     51.739073   -18.697095  Below Avg   56.478539   -23.436561    Decrease    -41.500000    
2024-04-01         TikTok Ads      10099.18         386           26.163678     51.739073   -25.575395  Below Avg   33.041978   -6.878300     Decrease    -20.820000

================================================================================
3.2) TOFU Monthly ARPU Performance and MoM-Analysis by Acquisition Channels
================================================================================

performance_month  acquisition_channel  current_revenue  active_users  current_arpu  avg_arpu    diff_avg    avg_change  pm_arpu     diff_pm_arpu  pm_change   mom_percentage
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2024-01-01         Direct               6025.19          89            67.698764     105.098819  -37.400055  Below Avg   NULL        NULL          No Change   NULL          
2024-02-01         Direct               11107.33         93            119.433655    105.098819  14.334836   Above Avg   67.698764   51.734891     Increase    76.420000     
2024-03-01         Direct               10780.39         89            121.127977    105.098819  16.029158   Above Avg   119.433655  1.694322      Increase    1.420000      
2024-04-01         Direct               9419.33          84            112.134880    105.098819  7.036061    Above Avg   121.127977  -8.993097     Decrease    -7.420000     
2024-01-01         Email                8413.14          93            90.463870     120.293010  -29.829140  Below Avg   NULL        NULL          No Change   NULL          
2024-02-01         Email                12461.15         86            144.897093    120.293010  24.604083   Above Avg   90.463870   54.433223     Increase    60.170000     
2024-03-01         Email                11904.83         88            135.282159    120.293010  14.989149   Above Avg   144.897093  -9.614934     Decrease    -6.640000     
2024-04-01         Email                8179.14          74            110.528918    120.293010  -9.764092   Below Avg   135.282159  -24.753241    Decrease    -18.300000    
2024-01-01         Facebook Ads         6792.95          78            87.089102     111.952495  -24.863393  Below Avg   NULL        NULL          No Change   NULL          
2024-02-01         Facebook Ads         12703.57         110           115.487000    111.952495  3.534505    Above Avg   87.089102   28.397898     Increase    32.610000     
2024-03-01         Facebook Ads         11314.92         85            133.116705    111.952495  21.164210   Above Avg   115.487000  17.629705     Increase    15.270000     
2024-04-01         Facebook Ads         9529.96          85            112.117176    111.952495  0.164681    Above Avg   133.116705  -20.999529    Decrease    -15.780000    
2024-01-01         Google Display       7740.26          94            82.343191     112.982996  -30.639805  Below Avg   NULL        NULL          No Change   NULL          
2024-02-01         Google Display       10835.05         89            121.742134    112.982996  8.759138    Above Avg   82.343191   39.398943     Increase    47.850000     
2024-03-01         Google Display       10842.62         88            123.211590    112.982996  10.228594   Above Avg   121.742134  1.469456      Increase    1.210000      
2024-04-01         Google Display       8599.82          69            124.635072    112.982996  11.652076   Above Avg   123.211590  1.423482      Increase    1.160000      
2024-01-01         Google Search        7807.03          85            91.847411     116.401221  -24.553810  Below Avg   NULL        NULL          No Change   NULL          
2024-02-01         Google Search        12570.67         93            135.168494    116.401221  18.767273   Above Avg   91.847411   43.321083     Increase    47.170000     
