===============================================================================
Conversion Path Analysis – Query Results
===============================================================================

Queries: 
    1) Path Length by Month (with First/Repeat split)
    2.1) Path Length by Last-Touch Channel (closing effectiveness)
    2.2) Path Length by Acquisition Channel (funnel nurturing difficulty)
    3.1) Path Length by Last-Touch Campaign 
    3.2) Path Length by Acquisition Campaign

================================================================================
1) Path Length by Month (Overall)
================================================================================

performance_month  purchase_count  avg_path_length
--------------------------------------------------
2024-01-01         908             1.198237       
2024-02-01         914             3.449671       
2024-03-01         904             5.603982       
2024-04-01         805             7.473291       

================================================================================
2) Path Length by Month (First vs. Repeat Purchases)
================================================================================

performance_month  purchase_type  purchase_count  avg_path_length
-----------------------------------------------------------------
2024-01-01         First          868             1.214285       
2024-01-01         Repeat         40              0.850000       
2024-02-01         First          767             3.698826       
2024-02-01         Repeat         147             2.149659       
2024-03-01         First          700             6.337142       
2024-03-01         Repeat         204             3.088235       
2024-04-01         First          555             8.897297       
2024-04-01         Repeat         250             4.312000       

================================================================================
3.1) Path Length by Last-Touch Channel (Closing Effectiveness)
================================================================================

performance_month  last_touch_channel  purchase_type  purchase_count  avg_path_length
-------------------------------------------------------------------------------------
2024-01-01         Direct              First          53              2.283018       
2024-01-01         Direct              Repeat         2               1.500000       
2024-02-01         Direct              First          74              3.756756       
2024-02-01         Direct              Repeat         12              2.250000       
2024-03-01         Direct              First          62              6.451612       
2024-03-01         Direct              Repeat         16              3.375000       
2024-04-01         Direct              First          49              8.918367       
2024-04-01         Direct              Repeat         15              6.000000       
2024-01-01         Email               First          50              2.240000       
2024-01-01         Email               Repeat         3               0.333333       
2024-02-01         Email               First          63              3.857142       
2024-02-01         Email               Repeat         13              1.615384       
2024-03-01         Email               First          73              6.273972       
2024-03-01         Email               Repeat         14              2.500000       
2024-04-01         Email               First          51              8.607843       
2024-04-01         Email               Repeat         18              3.277777       
2024-01-01         Facebook Ads        First          46              2.065217       
2024-01-01         Facebook Ads        Repeat         4               1.500000       
2024-02-01         Facebook Ads        First          61              3.737704       
2024-02-01         Facebook Ads        Repeat         28              2.071428       
2024-03-01         Facebook Ads        First          61              5.819672       
2024-03-01         Facebook Ads        Repeat         24              2.458333       
2024-04-01         Facebook Ads        First          63              8.793650       
2024-04-01         Facebook Ads        Repeat         20              3.650000       
2024-01-01         Google Display      First          41              2.048780       
2024-01-01         Google Display      Repeat         1               1.000000       
2024-02-01         Google Display      First          87              4.091954       
2024-02-01         Google Display      Repeat         10              3.500000       
2024-03-01         Google Display      First          71              6.422535       
2024-03-01         Google Display      Repeat         23              2.869565       
2024-04-01         Google Display      First          51              9.176470       
2024-04-01         Google Display      Repeat         24              4.791666       
2024-01-01         Google Search       First          55              1.854545       
2024-01-01         Google Search       Repeat         1               0.000000       
2024-02-01         Google Search       First          74              4.067567       
2024-02-01         Google Search       Repeat         15              1.866666       
2024-03-01         Google Search       First          81              5.827160       
2024-03-01         Google Search       Repeat         17              3.647058       
2024-04-01         Google Search       First          51              9.254901       
2024-04-01         Google Search       Repeat         26              4.653846       
2024-01-01         Instagram Ads       First          55              1.800000       
2024-01-01         Instagram Ads       Repeat         5               1.000000       
2024-02-01         Instagram Ads       First          73              4.178082       
2024-02-01         Instagram Ads       Repeat         8               2.125000       
2024-03-01         Instagram Ads       First          53              6.396226       
2024-03-01         Instagram Ads       Repeat         18              3.833333       
2024-04-01         Instagram Ads       First          56              9.214285       
2024-04-01         Instagram Ads       Repeat         31              3.967741       
2024-01-01         Organic Search      First          53              2.000000       
2024-02-01         Organic Search      First          56              3.714285       
2024-02-01         Organic Search      Repeat         9               1.666666       
2024-03-01         Organic Search      First          66              6.318181       
2024-03-01         Organic Search      Repeat         23              3.434782       
2024-04-01         Organic Search      First          57              9.035087       
2024-04-01         Organic Search      Repeat         24              4.458333       
2024-01-01         Referral            First          45              2.200000       
2024-01-01         Referral            Repeat         2               1.500000       
2024-02-01         Referral            First          66              3.454545       
2024-02-01         Referral            Repeat         12              2.333333       
2024-03-01         Referral            First          56              6.267857       
2024-03-01         Referral            Repeat         23              2.956521       
2024-04-01         Referral            First          41              8.902439       
2024-04-01         Referral            Repeat         25              4.840000       
2024-01-01         TikTok Ads          First          50              1.760000       
2024-01-01         TikTok Ads          Repeat         4               1.500000       
2024-02-01         TikTok Ads          First          67              3.611940       
2024-02-01         TikTok Ads          Repeat         15              2.333333       
2024-03-01         TikTok Ads          First          75              6.346666       
2024-03-01         TikTok Ads          Repeat         17              3.470588       
2024-04-01         TikTok Ads          First          42              9.523809       
2024-04-01         TikTok Ads          Repeat         26              3.500000       

================================================================================
3.2) Path Length by Acquisition Channel (Funnel Nurturing Difficulty)
================================================================================

performance_month  acquisition_channel  purchase_type  purchase_count  avg_path_length
--------------------------------------------------------------------------------------
2024-01-01         Direct               First          89              1.269662       
2024-01-01         Direct               Repeat         6               1.000000       
2024-02-01         Direct               First          79              3.683544       
2024-02-01         Direct               Repeat         14              1.785714       
2024-03-01         Direct               First          74              6.243243       
2024-03-01         Direct               Repeat         18              3.000000       
2024-04-01         Direct               First          61              9.180327       
2024-04-01         Direct               Repeat         25              4.720000       
2024-01-01         Email                First          93              1.182795       
2024-01-01         Email                Repeat         3               1.000000       
2024-02-01         Email                First          77              4.000000       
2024-02-01         Email                Repeat         15              2.133333       
2024-03-01         Email                First          73              6.383561       
2024-03-01         Email                Repeat         20              3.100000       
2024-04-01         Email                First          52              8.788461       
2024-04-01         Email                Repeat         26              4.153846       
2024-01-01         Facebook Ads         First          78              1.384615       
2024-01-01         Facebook Ads         Repeat         3               0.666666       
2024-02-01         Facebook Ads         First          97              3.783505       
2024-02-01         Facebook Ads         Repeat         20              2.100000       
2024-03-01         Facebook Ads         First          63              6.349206       
